2025-03-17,c766fbfc,1024,1,0,[272.91458086200004 272.87334738000004 276.37979861499997 274.895349971 272.961264916 273.405489318 275.841719571 275.11968313799997 274.55153]
2025-03-17,c766fbfc,1024,2,0,[139.471922516 139.98014996400002 140.075565866 140.052482427 140.03194284299997 140.0012]
2025-03-17,c766fbfc,1024,4,0,[72.33872624 72.14370391899999 73.390459052 71.70376101699999 71.713890755 72.08799]
2025-03-17,c766fbfc,1024,8,0,[39.829795828 40.84187634899999 40.281994643000004 39.024325883 38.737445515999994 38.9252382529]
2025-03-17,c766fbfc,1024,16,0,[]
2025-03-17,c766fbfc,1024,32,0,[]
2025-03-17,c766fbfc,256,1,0,[3.9853056920000003 3.98080178 4.040725323 4.0823]
2025-03-17,c766fbfc,512,8,0,[5.8870757010000005 6.058209434 5.883631782 5.954546330000001 5.950039114999999 5.869832319999999 5.996086126000002 5.950847]
2025-03-19,c766fbfc,1024,1,0,[274.396097019 272.391825821 275.127232]
2025-03-19,c766fbfc,1024,2,0,[140.338515563 139.59967002899998 139.47226]
2025-03-19,c766fbfc,1024,4,0,[71.895961559 71.775047658 72.009342]
2025-03-19,c766fbfc,256,1,0,[3.983583527 4.034475363 4.010197]
2025-03-19,c766fbfc,512,8,0,[5.9519940899999995 5.9240194509999995 5.9365447]
2025-03-19,f4f4930a,1024,1,0,[290.858318547 288.966233511 289.57303856399994 290.227257914 288.459022447 290.55697361600005 290.847568625 290.099417072 290.565258351]
2025-03-19,f4f4930a,1024,2,0,[147.691300818 148.649733992 148.38759776 148.078064261 147.898438026 147.70267601199998 147.87442146400002 148.430382654 148.343863162]
2025-03-19,f4f4930a,1024,4,0,[76.15339106399999 75.87334708600001 75.75196753 75.686917438 75.89325875999998 75.89663275800001 75.945212318 75.71483086399999 76.125841051]
2025-03-19,f4f4930a,1024,1,1,[289.067245319 290.32064213 288.90789007 289.723917848 289.30004424599997 290.19320210700005]
2025-03-19,f4f4930a,1024,2,1,[147.54992187300002 147.637317434 147.470113139 147.71743097799998 148.1658221 147.79969505100001]
2025-03-19,f4f4930a,1024,4,1,[75.51119280799999 75.96464210900001 75.79354879399999 75.57552736400001 75.777536224 75.64721834699999]
